day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
June 1,2026-06-01,Arrivals & Check-in,break,08:30,"Time (CT)",09:30,"Time (ET)"
June 1,2026-06-01,"Welcome (Coordinator)",activity,09:00,"Time (CT)",10:00,"Time (ET)"
June 1,2026-06-01,Module 1 -Intro to R & Seurat Objects (Alyona),activity,09:30,"Time (CT)",10:30,"Time (ET)"
June 1,2026-06-01,Break (30min),break,10:30,"Time (CT)",11:30,"Time (ET)"
June 1,2026-06-01,Module 1 Lab (Chaitra),activity,11:00,"Time (CT)",12:00,"Time (ET)"
June 1,2026-06-01,Lunch (1h),break,13:00,"Time (CT)",14:00,"Time (ET)"
June 1,2026-06-01,"Module 2 - QC, Doublet Detection (DoubletFinder), EmptyDrops & identifying cells (Tallulah - Quantification Lecture)",activity,14:00,"Time (CT)",15:00,"Time (ET)"
June 1,2026-06-01,Break (30min),break,15:00,"Time (CT)",16:00,"Time (ET)"
June 1,2026-06-01,Module 2 Lab (Tallulah),activity,15:30,"Time (CT)",16:30,"Time (ET)"
June 1,2026-06-01,Finished,break,17:30,"Time (CT)",18:30,"Time (ET)"
June 2,2026-06-02,Arrivals,break,08:30,"Time (CT)",09:30,"Time (ET)"
June 2,2026-06-02,Module 3 Normalization & PCA (Tallulah - QC Lecture),activity,09:00,"Time (CT)",10:00,"Time (ET)"
June 2,2026-06-02,Break (30min),break,10:00,"Time (CT)",11:00,"Time (ET)"
June 2,2026-06-02,Module 3 Lab (Tallulah),activity,10:30,"Time (CT)",11:30,"Time (ET)"
June 2,2026-06-02,Lunch (1h),break,12:00,"Time (CT)",13:00,"Time (ET)"
June 2,2026-06-02,Module 4 Visualization - Tnse & UMAP & destiny/diffusion maps (Chaitra),activity,13:00,"Time (CT)",14:00,"Time (ET)"
June 2,2026-06-02,Break (30min),break,14:00,"Time (CT)",14:30,"Time (ET)"
June 2,2026-06-02,Module 4 Lab (Chaitra),activity,14:30,"Time (CT)",15:30,"Time (ET)"
June 2,2026-06-02,Finished,break,17:00,"Time (CT)",18:00,"Time (ET)"
June 3,2026-06-03,Arrivals,break,08:30,"Time (CT)",09:30,"Time (ET)"
June 3,2026-06-03,Module 5 - Clustering (Alyona),activity,09:00,"Time (CT)",10:00,"Time (ET)"
June 3,2026-06-03,Break (30min),break,10:00,"Time (CT)",11:00,"Time (ET)"
June 3,2026-06-03,Module 5 Lab (Alyona),activity,10:30,"Time (CT)",11:30,"Time (ET)"
June 3,2026-06-03,Class photo + Lunch (1h),break,12:30,"Time (CT)",13:30,"Time (ET)"
June 3,2026-06-03,Module 6 - Data integration (Tallulah),activity,13:30,"Time (CT)",14:30,"Time (ET)"
June 3,2026-06-03,Break (30min),break,14:30,"Time (CT)",15:30,"Time (ET)"
June 3,2026-06-03,Module 6 Lab (Tallulah),activity,15:00,"Time (CT)",16:00,"Time (ET)"
June 3,2026-06-03,Survey & Closing Remarks,activity,17:00,"Time (CT)",18:00,"Time (ET)"
June 3,2026-06-03,Finished,break,17:30,"Time (CT)",18:30,"Time (ET)"
